Variable1,Variable2,Correlation
order_year,order_year,1.0
order_item_id,order_year,0.0
price,order_year,-0.002
freight_value,order_year,0.034
revenue,order_year,0.001
review_score,order_year,-0.008
delivery_days,order_year,-0.051
order_year,order_item_id,0.0
order_item_id,order_item_id,1.0
price,order_item_id,-0.061
freight_value,order_item_id,-0.03
revenue,order_item_id,-0.061
review_score,order_item_id,-0.131
delivery_days,order_item_id,-0.016
order_year,price,-0.002
order_item_id,price,-0.061
price,price,1.0
freight_value,price,0.414
revenue,price,0.997
review_score,price,-0.004
delivery_days,price,0.062
order_year,freight_value,0.034
order_item_id,freight_value,-0.03
price,freight_value,0.414
freight_value,freight_value,1.0
revenue,freight_value,0.482
review_score,freight_value,-0.036
delivery_days,freight_value,0.215
order_year,revenue,0.001
order_item_id,revenue,-0.061
price,revenue,0.997
freight_value,revenue,0.482
revenue,revenue,1.0
review_score,revenue,-0.007
delivery_days,revenue,0.078
order_year,review_score,-0.008
order_item_id,review_score,-0.131
price,review_score,-0.004
freight_value,review_score,-0.036
revenue,review_score,-0.007
review_score,review_score,1.0
delivery_days,review_score,-0.304
order_year,delivery_days,-0.051
order_item_id,delivery_days,-0.016
price,delivery_days,0.062
freight_value,delivery_days,0.215
revenue,delivery_days,0.078
review_score,delivery_days,-0.304
delivery_days,delivery_days,1.0
